id,userid,score
1,22311A0138,0000
2,22311A0137,0000
3,22311A0136,0000
4,22311A0130,0000
5,22311A0123,0000
6,22311A0118,0000
7,22311A0117,0000
8,22311A0116,0000
9,22311A0114,0000
10,22311A0112,0000
11,22311A0110,0000
12,22311A0109,0000
13,23315A0105,0000
14,23315A0104,0000
15,22311A0104,0000
16,23315A0103,0000
17,22311A0103,0000
18,23315A0102,0000
19,23315A0101,0000
20,22311A0279,0000
21,22311A0277,0000
22,22311A0276,0000
23,22311A0275,0000
24,22311A0274,0000
25,22311A0273,0000
26,22311A0271,0000
27,22311A0270,0000
28,22311A0268,0000
29,22311A0267,0000
30,22311A0265,0000
31,22311A0263,0000
32,22311A0262,0000
33,22311A0261,0000
34,22311A0260,0000
35,22311A0259,0000
36,22311A0258,0000
37,22311A0256,0000
38,22311A0255,0000
39,22311A0253,0000
40,22311A0252,0000
41,22311A0250,0000
42,22311A0249,0000
43,22311A0248,0000
44,22311A0247,0000
45,22311A0246,0000
46,22311A0245,0000
47,22311A0243,0000
48,22311A0242,0000
49,22311A0241,0000
50,22311A0238,0000
51,22311A0237,0000
52,22311A0236,0000
53,22311A0234,0000
54,22311A0233,0000
55,22311A0232,0000
56,22311A0230,0000
57,22311A0227,0000
58,22311A0226,0000
59,22311A0225,0000
60,22311A0224,0000
61,22311A0223,0000
62,22311A0222,0000
63,22311A0221,0000
64,22311A0220,0000
65,22311A0219,0000
66,22311A0218,0000
67,22311A0216,0000
68,22311A0215,0000
69,23315A0213,0000
70,22311A0213,0000
71,23315A0212,0000
72,23315A0211,0000
73,23315A0210,0000
74,22311A0210,0000
75,23315A0209,0000
76,23315A0208,0000
77,22311A0208,0000
78,23315A0207,0000
79,23315A0206,0000
80,22311A0206,0000
81,23315A0205,0000
82,22311A0205,0000
83,23315A0204,0000
84,22311A0204,0000
85,23315A0203,0000
86,22311A0203,0000
87,23315A0202,0000
88,22311A0202,0000
89,23315A0201,0000
90,22311A0201,0000
91,22311A6965,0000
92,22311A6964,0000
93,22311A6963,0000
94,22311A6962,0000
95,22311A6961,0000
96,22311A6959,0000
97,22311A6958,0000
98,22311A6955,0000
99,22311A6953,0000
100,22311A6952,0000
101,22311A6951,0000
102,22311A6950,0000
103,22311A6949,0000
104,22311A6946,0000
105,22311A6944,0000
106,22311A6943,0000
107,22311A6941,0000
108,22311A6940,0000
109,22311A6939,0000
110,22311A6938,0000
111,22311A6936,0000
112,22311A6935,0000
113,22311A6934,0000
114,22311A6932,0000
115,22311A6931,0000
116,22311A6930,0000
117,22311A6929,0000
118,22311A6928,0000
119,22311A6927,0000
120,22311A6925,0000
121,22311A6924,0000
122,22311A6923,0000
123,22311A6922,0000
124,22311A6921,0000
125,22311A6920,0000
126,22311A6919,0000
127,22311A6918,0000
128,22311A6917,0000
129,22311A6916,0000
130,22311A6915,0000
131,22311A6914,0000
132,22311A6913,0000
133,22311A6910,0000
134,22311A6909,0000
135,23315A6908,0000
136,23315A6907,0000
137,22311A6907,0000
138,23315A6906,0000
139,22311A6906,0000
140,23315A6905,0000
141,22311A6905,0000
142,23315A6904,0000
143,22311A6904,0000
144,23315A6903,0000
145,22311A6903,0000
146,23315A6902,0000
147,22311A6902,0000
148,23315A6901,0000
149,22311A6764,0000
150,22311A6763,0000
151,22311A6762,0000
152,22311A6761,0000
153,22311A6759,0000
154,22311A6758,0000
155,22311A6757,0000
156,22311A6756,0000
157,22311A6753,0000
158,22311A6750,0000
159,22311A6749,0000
160,22311A6747,0000
161,22311A6746,0000
162,22311A6745,0000
163,22311A6744,0000
164,22311A6743,0000
165,22311A6741,0000
166,22311A6740,0000
167,22311A6739,0000
168,22311A6738,0000
169,22311A6737,0000
170,22311A6735,0000
171,22311A6734,0000
172,22311A6732,0000
173,22311A6731,0000
174,22311A6728,0000
175,22311A6727,0000
176,22311A6726,0000
177,22311A6725,0000
178,22311A6724,0000
179,22311A6723,0000
180,22311A6722,0000
181,22311A6721,0000
182,22311A6720,0000
183,22311A6719,0000
184,22311A6718,0000
185,22311A6717,0000
186,22311A6716,0000
187,22311A6715,0000
188,22311A6714,0000
